lot_number,announce_id,announce_name,customer,lot_id,lot_name,quantity,amount_tg,trade_method,status
"87291211-ЗЦП117313415-1 Документ конкретного видаЗаказчик:ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской областиБланкИстория15001 050 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313415,17313415-1 Документ конкретного вида,"ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской области",42555426,Бланк,1500.0,1050000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87291201-ЗЦП117313415-1 Документ конкретного видаЗаказчик:ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской областиБланкИстория15001 050 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313415,17313415-1 Документ конкретного вида,"ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской области",42555416,Бланк,1500.0,1050000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"80860609-ЗЦП417313412-1 Средства для тушения пожаровЗаказчик:Республиканское государственное учреждение ""Маркакольский государственный природный заповедник"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""ОгнетушительИстория10306 206.90Запрос ценовых предложенийОпубликован",17313412,17313412-1 Средства для тушения пожаров,"Республиканское государственное учреждение ""Маркакольский государственный природный заповедник"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""",42555404,Огнетушитель,10.0,306206.9,Запрос ценовых предложений,Опубликован
"87344564-ЗЦП217313411-1 Работы по текущему ремонту по прокладке трубопровода отопления в здании котельной школыЗаказчик:КГУ ""Средняя школа имени Ж.Чайжунусова"" отдела образования Кокпектинского района управления образования области АбайРаботы по прокладке местных теплопроводных/отопительных сетейИстория1870 000.00Запрос ценовых предложенийОпубликован",17313411,17313411-1 Работы по текущему ремонту по прокладке трубопровода отопления в здании котельной школы,"КГУ ""Средняя школа имени Ж.Чайжунусова"" отдела образования Кокпектинского района управления образования области Абай",42555403,Работы по прокладке местных теплопроводных/отопительных сетей,1.0,870000.0,Запрос ценовых предложений,Опубликован
"87324550-ЗЦП117313410-1 Приобретение дизельного топлива (летнее), согласно технической спецификацииЗаказчик:республиканское государственное учреждение ""Департамент уголовно-исполнительной системы по Акмолинской области Комитета уголовно-исполнительной системы Министерства внутренних дел Республики Казахстан""Топливо дизельноеИстория143004 314 596.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313410,"17313410-1 Приобретение дизельного топлива (летнее), согласно технической спецификации","республиканское государственное учреждение ""Департамент уголовно-исполнительной системы по Акмолинской области Комитета уголовно-исполнительной системы Министерства внутренних дел Республики Казахстан""",42555402,Топливо дизельное,14300.0,4314596.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87364183-ЗЦП117313409-1 Приобретение хозяйственных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!Заказчик:КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской областиТачкаИстория6237 000.00Запрос ценовых предложенийОпубликован",17313409,17313409-1 Приобретение хозяйственных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!,"КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской области",42555365,Тачка,6.0,237000.0,Запрос ценовых предложений,Опубликован
"87364220-ЗЦП117313409-1 Приобретение хозяйственных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!Заказчик:КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской областиВедроИстория6070 200.00Запрос ценовых предложенийОпубликован",17313409,17313409-1 Приобретение хозяйственных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!,"КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской области",42555364,Ведро,60.0,70200.0,Запрос ценовых предложений,Опубликован
"84154695-ЗЦП117313408-1 Бензин для двигателей с искровым зажиганиемЗаказчик:Государственное учреждение ""Байганинский районный отдел внутренней политики""Бензин для двигателей с искровым зажиганиемИстория39087 414.60Запрос ценовых предложенийОпубликован",17313408,17313408-1 Бензин для двигателей с искровым зажиганием,"Государственное учреждение ""Байганинский районный отдел внутренней политики""",42555362,Бензин для двигателей с искровым зажиганием,390.0,87414.6,Запрос ценовых предложений,Опубликован
"87308584-ЗЦП217313406-1 Приобретение хозяйственных товаровЗаказчик:КГУ ""Средняя общеобразовательная школа Бескауга отдела образования акимата города Экибастуза"" управления образования Павлодарской областиИзвестьИстория5015 000.00Запрос ценовых предложенийОпубликован",17313406,17313406-1 Приобретение хозяйственных товаров,"КГУ ""Средняя общеобразовательная школа Бескауга отдела образования акимата города Экибастуза"" управления образования Павлодарской области",42555361,Известь,50.0,15000.0,Запрос ценовых предложений,Опубликован
"87375991-ЗЦП117313400-1 Услуги по проведению аудита финансовой отчетностиЗаказчик:ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской областиУслуги по проведению аудита финансовой отчетностиИстория1300 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313400,17313400-1 Услуги по проведению аудита финансовой отчетности,"ГКП на праве хозяйственного ведения ""Жанаозенская городская поликлиника № 2"" Управления здравоохранения Мангистауской области",42555360,Услуги по проведению аудита финансовой отчетности,1.0,300000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375842-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория37 239.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555359,Журнал,3.0,7239.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375784-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыСтикерИстория102 150.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555358,Стикер,10.0,2150.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375880-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория39 051.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555357,Журнал,3.0,9051.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375831-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыКалькуляторИстория16 724.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555356,Калькулятор,1.0,6724.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375794-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыАнтистеплерИстория61 422.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555355,Антистеплер,6.0,1422.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87363456-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыСкрепкаИстория208 620.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555354,Скрепка,20.0,8620.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375874-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория35 172.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555353,Журнал,3.0,5172.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375870-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория39 051.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555352,Журнал,3.0,9051.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87363455-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыШтрих-корректорИстория203 300.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555351,Штрих-корректор,20.0,3300.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375857-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория23 964.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555350,Журнал,2.0,3964.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375808-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыСкоросшивательИстория205 160.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555349,Скоросшиватель,20.0,5160.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375838-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория36 465.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555348,Журнал,3.0,6465.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375791-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыСкотчИстория53 230.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555347,Скотч,5.0,3230.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87375856-ЗЦП117313407-1 Канцелярские товары для школыЗаказчик:КГУ ""Специальная школа-интернат №2"" Управления образования города АлматыЖурналИстория25 172.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17313407,17313407-1 Канцелярские товары для школы,"КГУ ""Специальная школа-интернат №2"" Управления образования города Алматы",42555346,Журнал,2.0,5172.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87289225-ЗЦП117313403-1 Приобретение электронного ключа SafeNet 5110,  версия 1,5Заказчик:Государственное учреждение ""Отдел экономики и бюджетного планирования района Марқакөл Восточно-Казахстанской области""Флеш-накопительИстория336 000.00Запрос ценовых предложенийОпубликован",17313403,"17313403-1 Приобретение электронного ключа SafeNet 5110,  версия 1,5","Государственное учреждение ""Отдел экономики и бюджетного планирования района Марқакөл Восточно-Казахстанской области""",42555345,Флеш-накопитель,3.0,36000.0,Запрос ценовых предложений,Опубликован
"87023106-ЗЦП217313405-1 Бумага для офисного оборудованияЗаказчик:Республиканское государственное учреждение ""Маркакольский государственный природный заповедник"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""Бумага для офисного оборудованияИстория1545 000.00Запрос ценовых предложенийОпубликован",17313405,17313405-1 Бумага для офисного оборудования,"Республиканское государственное учреждение ""Маркакольский государственный природный заповедник"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""",42555344,Бумага для офисного оборудования,15.0,45000.0,Запрос ценовых предложений,Опубликован
"84073392-ЗЦП117313404-1 Наконечник для флагштока материал пластик цвет позолото с размером шара высотой 75 мм /Заказчик:КГУ ""Аппарат акима Интернационального сельского округа Тимирязевского района Северо-Казахстанской области""НаконечникИстория115 000.00Запрос ценовых предложенийОпубликован",17313404,17313404-1 Наконечник для флагштока материал пластик цвет позолото с размером шара высотой 75 мм /,"КГУ ""Аппарат акима Интернационального сельского округа Тимирязевского района Северо-Казахстанской области""",42555343,Наконечник,1.0,15000.0,Запрос ценовых предложений,Опубликован
"87326054-ОИ217313398-1 Услуга по заправке картриджейЗаказчик:КГУ ""Центр поддержки семьи"" отдела занятости и социальных программ города КосшыУслуги по заправке картриджейИстория1150 000.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17313398,17313398-1 Услуга по заправке картриджей,"КГУ ""Центр поддержки семьи"" отдела занятости и социальных программ города Косшы",42555341,Услуги по заправке картриджей,1.0,150000.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
42555339-ОЛ-ЗЦП117313397-1 Приобретение запасных частейЗаказчик:Чингирлауское коммунальное государственное учреждение по охране лесов и животного мира Управления природных ресурсов и регулирования природопользования акимата ЗКОзапасные частиИстория249 000.00Запрос ценовых предложенийОпубликован,17313397,17313397-1 Приобретение запасных частей,Чингирлауское коммунальное государственное учреждение по охране лесов и животного мира Управления природных ресурсов и регулирования природопользования акимата ЗКО,42555339,запасные части,2.0,49000.0,Запрос ценовых предложений,Опубликован
"83219871-ЗЦП117313396-1 услуга по поверке манометра/Заказчик:КГУ ""Средняя школа села Кызылжар"" отдела образования города Аксу, управления образования Павлодарской областиУслуги по поверке средств измеренийИстория115 000.00Запрос ценовых предложенийОпубликован",17313396,17313396-1 услуга по поверке манометра/,"КГУ ""Средняя школа села Кызылжар"" отдела образования города Аксу, управления образования Павлодарской области",42555338,Услуги по поверке средств измерений,1.0,15000.0,Запрос ценовых предложений,Опубликован
83309965-ЗЦП317313394-1 Услуги по чистке печей/дымоходов/вентиляционных каналов и аналогичного оборудованияЗаказчик:КГУ «Казахская средняя школа-лицей» ГУ «Отдел образования по городу Қонаев Управления образования Алматинской области»Услуги по чистке печей/дымоходов/вентиляционных каналов и аналогичного оборудованияИстория1150 000.00Запрос ценовых предложенийОпубликован,17313394,17313394-1 Услуги по чистке печей/дымоходов/вентиляционных каналов и аналогичного оборудования,КГУ «Казахская средняя школа-лицей» ГУ «Отдел образования по городу Қонаев Управления образования Алматинской области»,42555336,Услуги по чистке печей/дымоходов/вентиляционных каналов и аналогичного оборудования,1.0,150000.0,Запрос ценовых предложений,Опубликован
"87362863-ЗЦП117313391-1 Көлік құралына техникалық қызмет көрсету және жөндеуЗаказчик:ГУ ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции Наурзумского района""Работы по ремонту автотранспортных средствИстория11 460 000.00Запрос ценовых предложенийОпубликован",17313391,17313391-1 Көлік құралына техникалық қызмет көрсету және жөндеу,"ГУ ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции Наурзумского района""",42555335,Работы по ремонту автотранспортных средств,1.0,1460000.0,Запрос ценовых предложений,Опубликован
84589974-КРБС117249295-3 Работы по разработке ПСД на устройство парка в с.Тоскаин района Марқакөл ВКОЗаказчик:ГУ «Аппарат акима Тоскаинского сельского округа района Марқакөл ВКО»Работы по разработке/расчету/составлению проектно-сметной документацииИстория14 186 824.00Конкурс с использованием рейтингово-балльной системыОпубликован,17313392,17249295-3 Работы по разработке ПСД на устройство парка в с.Тоскаин района Марқакөл ВКО,ГУ «Аппарат акима Тоскаинского сельского округа района Марқакөл ВКО»,42555334,Работы по разработке/расчету/составлению проектно-сметной документации,1.0,4186824.0,Конкурс с использованием рейтингово-балльной системы,Опубликован
87190897-ЗЦП117313389-1 Услуга по перезарядке огнетушителей согласно тех спец 10 штЗаказчик:КГУ «Сахновская основная средняя школа» отдела образования Бородулихинского района управления образования области АбайУслуги по техническому обслуживанию противопожарных средств/инвентаря/оборудования (кроме систем безопасности)История1100 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений),17313389,17313389-1 Услуга по перезарядке огнетушителей согласно тех спец 10 шт,КГУ «Сахновская основная средняя школа» отдела образования Бородулихинского района управления образования области Абай,42555333,Услуги по техническому обслуживанию противопожарных средств/инвентаря/оборудования (кроме систем безопасности),1.0,100000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
87256735-ЗЦП117313378-1 закуп товары  для садика (тонометр)Заказчик:государственное коммунальное казенное предприятие на праве оперативного управления «Ясли-сад №16 «Бөбек» Отдела образования по городу Актау Управления образования Мангистауской областиТонометрИстория214 000.00Запрос ценовых предложенийОпубликован,17313378,17313378-1 закуп товары  для садика (тонометр),государственное коммунальное казенное предприятие на праве оперативного управления «Ясли-сад №16 «Бөбек» Отдела образования по городу Актау Управления образования Мангистауской области,42555331,Тонометр,2.0,14000.0,Запрос ценовых предложений,Опубликован
