tender_id,category,customer,customer_bin,trade_method,publish_date,end_date,window_days,n_bidders,winner_supplier,winner_bin,amount_tg,status,is_captured_ground_truth
400021,Медицинское оборудование,Заказчик_0132,113739882651,Запрос ценовых предложений,2023-01-20,2023-01-28,8,4,Поставщик_0642,380264830214,6874825.11,Завершен,False
400022,Ремонт зданий,Заказчик_0191,742687446267,Открытый конкурс,2024-05-07,2024-05-15,8,5,Поставщик_0372,944811679801,5483947.64,Итоги подведены,False
400023,IT-услуги,Заказчик_0110,880371318781,Электронный аукцион,2023-11-30,2023-12-05,5,1,Поставщик_0240,906447641554,4793871.33,Завершен,False
400024,Транспортные услуги,Заказчик_0019,190156218256,Из одного источника,2023-05-17,2023-06-05,19,7,Поставщик_0137,267474352337,1048340.0,Завершен,False
400025,Канцелярские товары,Заказчик_0137,362813537454,Запрос ценовых предложений,2025-03-13,2025-03-24,11,3,Поставщик_0098,571368539972,317333.45,Отменен,False
400026,Клининг,Заказчик_0181,093957730128,Электронный аукцион,2024-11-03,2024-11-13,10,3,Поставщик_0321,485926593358,731045.85,Завершен,False
400027,Мебель,Заказчик_0058,694569801375,Запрос ценовых предложений,2023-06-11,2023-06-23,12,2,Поставщик_0734,331897353844,907414.01,Итоги подведены,False
400028,Клининг,Заказчик_0057,045227746976,Электронный аукцион,2023-01-17,2023-01-27,10,3,Поставщик_0588,727453636489,629960.74,Итоги подведены,False
400029,Охранные услуги,Заказчик_0158,456227804705,Электронный аукцион,2024-09-01,2024-09-10,9,3,Поставщик_0605,427937196986,2163781.28,Завершен,False
400030,Медицинское оборудование,Заказчик_0005,965687203229,Запрос ценовых предложений,2025-05-25,2025-06-06,12,5,Поставщик_0572,516919540856,7910396.08,Завершен,False
400031,Транспортные услуги,Заказчик_0122,138783944958,Из одного источника по несостоявшимся закупкам,2023-09-28,2023-10-22,24,1,Поставщик_0151,625246342738,1145734.3,Опубликован,False
400032,Транспортные услуги,Заказчик_0016,294850989981,Из одного источника,2023-05-30,2023-06-07,8,4,Поставщик_0282,723262034517,1052743.2,Завершен,False
400033,Продукты питания,Заказчик_0182,383719759048,Запрос ценовых предложений,2024-06-20,2024-06-27,7,5,Поставщик_0441,249590173425,476571.45,Итоги подведены,False
400034,Медицинское оборудование,Заказчик_0101,937882116761,Открытый конкурс,2023-04-13,2023-05-04,21,3,Поставщик_0462,246269807693,8292028.56,Завершен,False
400035,IT-услуги,Заказчик_0084,846650721507,Открытый конкурс,2024-08-09,2024-08-22,13,1,Поставщик_0520,270152889984,4993042.08,Итоги подведены,False
400036,Медицинское оборудование,Заказчик_0196,444633818661,Электронный аукцион,2023-06-23,2023-07-04,11,3,Поставщик_0697,317045030329,7369440.16,Завершен,False
400037,Продукты питания,Заказчик_0156,370660134587,Открытый конкурс,2025-01-12,2025-01-25,13,1,Поставщик_0772,923184834773,431924.43,Завершен,False
400038,Стройматериалы,Заказчик_0198,615372780181,Из одного источника,2025-01-17,2025-01-25,8,4,Поставщик_0628,628834501796,3206253.71,Опубликован,False
400039,Ремонт зданий,Заказчик_0186,053323099951,Открытый конкурс,2023-02-18,2023-03-12,22,1,Поставщик_0199,883751991993,5455117.31,Завершен,False
400040,Мебель,Заказчик_0198,615372780181,Из одного источника по несостоявшимся закупкам,2024-08-01,2024-08-14,13,1,Поставщик_0183,933280862559,943403.53,Итоги подведены,False
400041,Продукты питания,Заказчик_0166,287356331623,Из одного источника,2024-05-29,2024-06-01,3,2,Поставщик_0746,277946131833,540605.23,Завершен,False
400042,Стройматериалы,Заказчик_0024,420762754008,Из одного источника,2025-01-23,2025-02-04,12,6,Поставщик_0587,992848906008,2952051.03,Итоги подведены,False
400043,Ремонт зданий,Заказчик_0104,865457848634,Электронный аукцион,2025-01-29,2025-02-01,3,4,Поставщик_0485,756919489091,5309652.62,Завершен,False
400044,Транспортные услуги,Заказчик_0046,178619734353,Открытый конкурс,2023-05-29,2023-06-09,11,2,Поставщик_0363,826646713440,1118248.67,Завершен,False
400045,Ремонт зданий,Заказчик_0064,196215509941,Электронный аукцион,2024-01-11,2024-01-31,20,5,Поставщик_0188,522310503057,5903152.18,Завершен,False
400046,Канцелярские товары,Заказчик_0058,694569801375,Электронный аукцион,2024-03-16,2024-03-27,11,5,Поставщик_0662,345590235858,307109.86,Завершен,False
400047,Транспортные услуги,Заказчик_0115,986712861740,Из одного источника по несостоявшимся закупкам,2024-08-10,2024-08-21,11,3,Поставщик_0536,969870091633,1300781.95,Завершен,False
400048,Мебель,Заказчик_0015,769043821442,Из одного источника,2025-05-13,2025-05-21,8,7,Поставщик_0060,512534346021,1004041.43,Завершен,False
400049,Стройматериалы,Заказчик_0043,200593676791,Открытый конкурс,2025-05-12,2025-05-21,9,6,Поставщик_0541,928019730937,2999695.08,Опубликован,False
400050,Транспортные услуги,Заказчик_0098,137588080098,Электронный аукцион,2025-01-30,2025-02-15,16,1,Поставщик_0581,235737948478,1217358.99,Завершен,False
400051,Стройматериалы,Заказчик_0044,011652671671,Открытый конкурс,2023-04-18,2023-04-29,11,5,Поставщик_0635,900785867507,2823144.01,Завершен,False
400052,Клининг,Заказчик_0055,539176725448,Из одного источника,2023-10-09,2023-10-17,8,3,Поставщик_0099,994147727879,722695.0,Итоги подведены,False
400053,Медицинское оборудование,Заказчик_0153,051929549841,Электронный аукцион,2023-05-22,2023-06-01,10,7,Поставщик_0181,194339337476,8501067.36,Итоги подведены,False
400054,Медицинское оборудование,Заказчик_0129,967512170538,Открытый конкурс,2023-04-21,2023-04-24,3,2,Поставщик_0455,161205892073,7708635.92,Опубликован,False
400055,Продукты питания,Заказчик_0137,362813537454,Из одного источника по несостоявшимся закупкам,2023-04-20,2023-05-03,13,3,Поставщик_0123,947327724535,539805.24,Итоги подведены,False
400056,IT-услуги,Заказчик_0074,356428134255,Открытый конкурс,2024-05-05,2024-05-13,8,4,Поставщик_0699,964487800817,5498880.91,Завершен,False
400057,Клининг,Заказчик_0042,061403237378,Из одного источника,2023-04-10,2023-04-21,11,3,Поставщик_0509,232418148134,637144.91,Завершен,False
400058,Медицинское оборудование,Заказчик_0156,370660134587,Из одного источника,2025-02-07,2025-02-23,16,3,Поставщик_0465,980065671371,6810859.67,Итоги подведены,False
400059,Клининг,Заказчик_0099,557410386890,Из одного источника по несостоявшимся закупкам,2024-11-30,2024-12-10,10,4,Поставщик_0119,431616934635,735168.67,Завершен,False
400060,Стройматериалы,Заказчик_0086,600723107574,Открытый конкурс,2023-04-19,2023-05-07,18,2,Поставщик_0144,898856957794,2701336.58,Завершен,False
400061,Охранные услуги,Заказчик_0048,544728808246,Из одного источника по несостоявшимся закупкам,2024-11-25,2024-12-11,16,4,Поставщик_0042,158690795519,1835379.38,Завершен,False
400062,Охранные услуги,Заказчик_0168,413748378959,Запрос ценовых предложений,2024-04-15,2024-04-29,14,1,Поставщик_0605,427937196986,2008154.48,Опубликован,False
400063,Клининг,Заказчик_0023,152672624980,Запрос ценовых предложений,2025-06-01,2025-06-07,6,3,Поставщик_0328,112845460112,627118.32,Итоги подведены,False
400064,Мебель,Заказчик_0147,252922273397,Запрос ценовых предложений,2024-06-16,2024-06-20,4,4,Поставщик_0534,881111936199,925335.66,Завершен,False
400065,Клининг,Заказчик_0164,232971847802,Открытый конкурс,2024-02-17,2024-03-09,21,4,Поставщик_0328,112845460112,665706.02,Завершен,False
400066,Канцелярские товары,Заказчик_0074,356428134255,Из одного источника,2023-04-27,2023-05-04,7,1,Поставщик_0436,051841154098,277852.85,Завершен,False
400067,Ремонт зданий,Заказчик_0021,049902298831,Электронный аукцион,2023-04-18,2023-04-24,6,4,Поставщик_0503,457459864697,5982459.37,Завершен,False
400068,Клининг,Заказчик_0123,706853063646,Запрос ценовых предложений,2025-04-08,2025-04-17,9,3,Поставщик_0313,187275276446,694010.08,Завершен,False
400069,IT-услуги,Заказчик_0197,921159241640,Запрос ценовых предложений,2023-02-02,2023-02-26,24,5,Поставщик_0056,845848409759,5032515.6,Завершен,False
400070,Продукты питания,Заказчик_0048,544728808246,Из одного источника,2025-05-15,2025-05-30,15,6,Поставщик_0314,442712461000,529672.8,Итоги подведены,False
400071,Мебель,Заказчик_0138,309592304864,Открытый конкурс,2024-04-06,2024-04-16,10,2,Поставщик_0321,485926593358,933532.51,Итоги подведены,False
400072,Клининг,Заказчик_0007,329500167403,Открытый конкурс,2024-10-19,2024-10-23,4,1,Поставщик_0310,750312639452,739755.35,Завершен,False
400073,Транспортные услуги,Заказчик_0137,362813537454,Открытый конкурс,2023-10-10,2023-10-11,1,2,Поставщик_0700,814806005916,1055901.77,Итоги подведены,False
400074,Клининг,Заказчик_0134,006567464629,Из одного источника по несостоявшимся закупкам,2024-03-27,2024-04-11,15,6,Поставщик_0520,270152889984,596877.34,Завершен,False
400075,Продукты питания,Заказчик_0054,441094840601,Открытый конкурс,2025-05-12,2025-06-01,20,2,Поставщик_0190,906433503969,529538.04,Итоги подведены,False
400076,Транспортные услуги,Заказчик_0018,571295570558,Запрос ценовых предложений,2025-05-12,2025-05-24,12,4,Поставщик_0507,968046436330,1044014.79,Завершен,False
400077,Мебель,Заказчик_0003,868570220212,Открытый конкурс,2024-05-15,2024-05-24,9,2,Поставщик_0390,598768757751,895231.66,Завершен,False
400078,Стройматериалы,Заказчик_0074,356428134255,Открытый конкурс,2025-04-26,2025-04-27,1,2,Поставщик_0246,128011514827,2989833.88,Завершен,False
400079,Транспортные услуги,Заказчик_0045,891036937066,Из одного источника,2023-02-10,2023-02-23,13,1,Поставщик_0233,338574752609,1273076.52,Завершен,False
400080,Ремонт зданий,Заказчик_0011,890407714528,Открытый конкурс,2024-05-15,2024-05-30,15,2,Поставщик_0613,744440594763,5649912.58,Завершен,False
400081,IT-услуги,Заказчик_0108,933786876564,Запрос ценовых предложений,2024-08-07,2024-08-12,5,7,Поставщик_0727,273474772669,5312842.87,Итоги подведены,False
400082,IT-услуги,Заказчик_0052,571247952112,Из одного источника,2024-06-08,2024-06-20,12,2,Поставщик_0669,806013962187,5396672.09,Итоги подведены,False
400083,IT-услуги,Заказчик_0104,865457848634,Запрос ценовых предложений,2024-03-24,2024-04-01,8,2,Поставщик_0425,674249502283,4281028.91,Итоги подведены,False
400084,Ремонт зданий,Заказчик_0071,069974068469,Из одного источника по несостоявшимся закупкам,2024-09-13,2024-09-20,7,2,Поставщик_0194,060328680862,5517033.16,Итоги подведены,False
400085,Охранные услуги,Заказчик_0064,196215509941,Запрос ценовых предложений,2024-02-08,2024-02-14,6,10,Поставщик_0641,238196641402,2066206.75,Завершен,False
400086,Продукты питания,Заказчик_0178,823345926868,Из одного источника по несостоявшимся закупкам,2024-08-07,2024-08-12,5,6,Поставщик_0131,981867816273,440483.72,Завершен,False
400087,Канцелярские товары,Заказчик_0018,571295570558,Запрос ценовых предложений,2024-05-12,2024-05-20,8,7,Поставщик_0118,178899452007,296659.63,Завершен,False
400088,Охранные услуги,Заказчик_0017,424039274499,Открытый конкурс,2023-08-28,2023-09-11,14,1,Поставщик_0335,393920822896,1886351.17,Завершен,False
400089,IT-услуги,Заказчик_0174,628964171749,Запрос ценовых предложений,2025-04-12,2025-04-17,5,3,Поставщик_0711,363987954794,5331820.69,Завершен,False
400090,Клининг,Заказчик_0073,291422089614,Открытый конкурс,2023-12-21,2023-12-30,9,1,Поставщик_0583,869301373063,703832.11,Завершен,False
400091,Стройматериалы,Заказчик_0101,937882116761,Из одного источника по несостоявшимся закупкам,2024-12-21,2024-12-29,8,1,Поставщик_0206,560233844605,2935972.01,Отменен,False
400092,Клининг,Заказчик_0127,352249294184,Открытый конкурс,2024-04-22,2024-05-01,9,5,Поставщик_0530,915786308760,744335.32,Отменен,False
400093,Охранные услуги,Заказчик_0122,138783944958,Открытый конкурс,2023-01-27,2023-02-10,14,4,Поставщик_0234,545458190187,1742405.8,Опубликован,False
400094,Ремонт зданий,Заказчик_0047,881968747928,Открытый конкурс,2024-02-09,2024-02-12,3,4,Поставщик_0710,341084543823,5962307.89,Итоги подведены,False
400095,Канцелярские товары,Заказчик_0111,446242745384,Запрос ценовых предложений,2024-10-07,2024-10-13,6,3,Поставщик_0448,231433408630,282403.38,Итоги подведены,False
400096,Охранные услуги,Заказчик_0152,918199349998,Из одного источника по несостоявшимся закупкам,2023-11-12,2023-11-24,12,1,Поставщик_0678,091341327221,1926639.96,Итоги подведены,False
400097,Канцелярские товары,Заказчик_0196,444633818661,Открытый конкурс,2023-07-01,2023-07-04,3,5,Поставщик_0325,647107852974,322274.76,Опубликован,False
400098,Продукты питания,Заказчик_0039,704542495687,Электронный аукцион,2024-05-19,2024-06-01,13,6,Поставщик_0256,172697105248,465311.54,Итоги подведены,False
400099,Транспортные услуги,Заказчик_0118,609055953469,Открытый конкурс,2023-10-20,2023-11-07,18,5,Поставщик_0659,469189934571,1162877.19,Опубликован,False
400100,Ремонт зданий,Заказчик_0039,704542495687,Из одного источника,2024-06-14,2024-06-23,9,5,Поставщик_0517,249119330058,6079383.19,Опубликован,False
400101,Медицинское оборудование,Заказчик_0160,845404873875,Открытый конкурс,2024-08-30,2024-09-02,3,1,Поставщик_0467,681232354610,10430556.95,Завершен,True
400102,Охранные услуги,Заказчик_0017,424039274499,Из одного источника по несостоявшимся закупкам,2023-05-06,2023-05-13,7,2,Поставщик_0616,670217426833,1823033.31,Завершен,False
400103,Клининг,Заказчик_0041,403641416035,Открытый конкурс,2023-02-02,2023-02-13,11,3,Поставщик_0325,647107852974,614530.06,Опубликован,False
400104,Стройматериалы,Заказчик_0104,865457848634,Электронный аукцион,2024-11-30,2024-12-11,11,3,Поставщик_0017,205667686355,2862457.22,Завершен,False
400105,Медицинское оборудование,Заказчик_0185,103321145403,Из одного источника,2023-02-24,2023-03-01,5,2,Поставщик_0379,687413037719,7816334.71,Опубликован,False
400106,Стройматериалы,Заказчик_0175,560089674827,Открытый конкурс,2023-01-27,2023-01-31,4,4,Поставщик_0390,598768757751,2731862.14,Опубликован,False
400107,Продукты питания,Заказчик_0099,557410386890,Из одного источника по несостоявшимся закупкам,2023-10-27,2023-11-10,14,4,Поставщик_0122,800050545955,482596.2,Итоги подведены,False
400108,Продукты питания,Заказчик_0144,516681609103,Электронный аукцион,2023-06-22,2023-07-04,12,1,Поставщик_0020,007565470562,539852.9,Завершен,False
400109,Охранные услуги,Заказчик_0146,531933776661,Запрос ценовых предложений,2023-05-16,2023-05-21,5,1,Поставщик_0299,615581038112,2412993.18,Завершен,True
400110,Охранные услуги,Заказчик_0191,742687446267,Открытый конкурс,2023-05-19,2023-06-08,20,5,Поставщик_0502,300791075489,2126684.73,Завершен,False
400111,Транспортные услуги,Заказчик_0162,649389366563,Электронный аукцион,2023-04-10,2023-04-16,6,3,Поставщик_0156,783261183658,1295638.1,Завершен,False
400112,Транспортные услуги,Заказчик_0057,045227746976,Открытый конкурс,2025-05-21,2025-06-05,15,6,Поставщик_0652,496109906857,1144207.83,Итоги подведены,False
400113,Ремонт зданий,Заказчик_0065,847528925395,Из одного источника по несостоявшимся закупкам,2024-06-27,2024-07-09,12,1,Поставщик_0376,010890391076,5619717.98,Итоги подведены,False
400114,Ремонт зданий,Заказчик_0076,276366676869,Открытый конкурс,2024-09-23,2024-09-29,6,6,Поставщик_0470,146781682683,5315577.99,Завершен,False
400115,Клининг,Заказчик_0058,694569801375,Из одного источника,2023-05-29,2023-06-18,20,3,Поставщик_0128,110621371287,597901.47,Итоги подведены,False
400116,Транспортные услуги,Заказчик_0053,105295618485,Из одного источника,2024-06-04,2024-06-12,8,4,Поставщик_0431,457774731762,1101956.16,Итоги подведены,False
400117,Охранные услуги,Заказчик_0187,313404440226,Электронный аукцион,2024-06-10,2024-06-27,17,4,Поставщик_0397,629397549404,1997856.89,Завершен,False
400118,Транспортные услуги,Заказчик_0083,349806593311,Запрос ценовых предложений,2025-02-01,2025-02-19,18,3,Поставщик_0136,106633162843,1223286.23,Итоги подведены,False
400119,Канцелярские товары,Заказчик_0062,298543394596,Открытый конкурс,2025-02-25,2025-03-10,13,5,Поставщик_0195,390385154902,314702.14,Завершен,False
400120,Мебель,Заказчик_0093,375889866098,Из одного источника,2024-01-21,2024-02-03,13,2,Поставщик_0561,937134461636,1020645.4,Итоги подведены,False
400121,Ремонт зданий,Заказчик_0095,724337750016,Запрос ценовых предложений,2024-01-03,2024-01-16,13,2,Поставщик_0218,435602273530,6388474.29,Завершен,False
400122,Охранные услуги,Заказчик_0027,073988827188,Электронный аукцион,2023-08-08,2023-08-27,19,6,Поставщик_0463,595148239633,2091480.07,Завершен,False
400123,Мебель,Заказчик_0105,101837512445,Открытый конкурс,2023-07-10,2023-07-31,21,4,Поставщик_0222,535877304424,901099.34,Завершен,False
400124,Медицинское оборудование,Заказчик_0168,413748378959,Электронный аукцион,2024-02-15,2024-03-02,16,5,Поставщик_0529,476011360029,8017482.26,Завершен,False
400125,Охранные услуги,Заказчик_0006,836394225258,Запрос ценовых предложений,2023-01-21,2023-02-03,13,4,Поставщик_0395,127547310444,1888602.99,Завершен,False
400126,Медицинское оборудование,Заказчик_0069,588454746149,Из одного источника,2024-11-23,2024-11-30,7,2,Поставщик_0696,543034672599,8709796.78,Завершен,False
400127,Медицинское оборудование,Заказчик_0164,232971847802,Электронный аукцион,2023-04-28,2023-05-03,5,3,Поставщик_0202,636456738411,7204176.2,Завершен,False
400128,Транспортные услуги,Заказчик_0119,207376773058,Открытый конкурс,2024-03-06,2024-03-21,15,2,Поставщик_0756,517725351365,1164447.4,Завершен,False
400129,Охранные услуги,Заказчик_0080,658912085920,Запрос ценовых предложений,2024-04-14,2024-04-24,10,2,Поставщик_0781,916367478121,1826218.15,Завершен,False
400130,Продукты питания,Заказчик_0173,212954133846,Открытый конкурс,2023-10-09,2023-10-18,9,6,Поставщик_0066,762315986624,463058.32,Опубликован,False
400131,Продукты питания,Заказчик_0013,352206298026,Электронный аукцион,2024-11-19,2024-12-01,12,3,Поставщик_0092,424848414614,445663.92,Завершен,False
400132,Транспортные услуги,Заказчик_0051,545473722111,Запрос ценовых предложений,2024-02-13,2024-02-25,12,4,Поставщик_0218,435602273530,1141456.49,Завершен,False
400133,Стройматериалы,Заказчик_0092,787963526218,Запрос ценовых предложений,2023-05-25,2023-05-30,5,3,Поставщик_0323,852094270803,3222091.56,Завершен,False
400134,Охранные услуги,Заказчик_0121,095952713783,Электронный аукцион,2023-12-13,2023-12-29,16,3,Поставщик_0179,039907515261,1822629.49,Завершен,False
400135,Стройматериалы,Заказчик_0143,957760497757,Открытый конкурс,2023-08-27,2023-09-06,10,4,Поставщик_0155,018915617364,2733597.38,Завершен,False
400136,Стройматериалы,Заказчик_0136,789135342202,Из одного источника,2023-02-02,2023-02-14,12,6,Поставщик_0419,193001215700,2648816.12,Завершен,False
400137,Клининг,Заказчик_0160,845404873875,Электронный аукцион,2025-04-26,2025-05-07,11,4,Поставщик_0706,126245364680,631350.52,Итоги подведены,False
400138,Канцелярские товары,Заказчик_0029,639591919214,Запрос ценовых предложений,2025-02-25,2025-03-15,18,2,Поставщик_0150,536196460253,300609.69,Итоги подведены,False
400139,Стройматериалы,Заказчик_0193,560763609637,Открытый конкурс,2023-01-28,2023-02-10,13,2,Поставщик_0390,598768757751,3291452.92,Завершен,False
400140,Охранные услуги,Заказчик_0043,200593676791,Из одного источника по несостоявшимся закупкам,2025-01-05,2025-01-23,18,3,Поставщик_0600,570574392301,1725053.34,Завершен,False
400141,Транспортные услуги,Заказчик_0112,839942359881,Запрос ценовых предложений,2024-10-29,2024-11-05,7,1,Поставщик_0336,874088944878,1666004.53,Итоги подведены,True
400142,Охранные услуги,Заказчик_0171,919426295735,Запрос ценовых предложений,2023-02-18,2023-02-28,10,5,Поставщик_0347,110188792867,2196684.25,Отменен,False
400143,Транспортные услуги,Заказчик_0017,424039274499,Открытый конкурс,2024-11-06,2024-11-16,10,1,Поставщик_0639,473927972652,1058709.02,Завершен,False
400144,Ремонт зданий,Заказчик_0038,756202235126,Открытый конкурс,2024-12-09,2024-12-13,4,4,Поставщик_0684,527233135406,6089926.95,Завершен,False
400145,Транспортные услуги,Заказчик_0074,356428134255,Запрос ценовых предложений,2024-07-23,2024-08-05,13,3,Поставщик_0085,401028370708,1223428.22,Завершен,False
400146,Охранные услуги,Заказчик_0004,633229661713,Запрос ценовых предложений,2024-06-09,2024-06-29,20,6,Поставщик_0604,789516709861,2173767.8,Завершен,False
400147,Медицинское оборудование,Заказчик_0093,375889866098,Из одного источника по несостоявшимся закупкам,2023-02-06,2023-02-14,8,6,Поставщик_0196,533133629586,8094143.6,Завершен,False
400148,Клининг,Заказчик_0006,836394225258,Электронный аукцион,2024-09-18,2024-09-28,10,2,Поставщик_0170,188216312170,711810.74,Опубликован,False
400149,Канцелярские товары,Заказчик_0179,703500144758,Электронный аукцион,2024-01-03,2024-01-22,19,1,Поставщик_0459,105749993465,279491.01,Отменен,False
400150,Транспортные услуги,Заказчик_0010,757503098830,Открытый конкурс,2023-05-27,2023-06-06,10,3,Поставщик_0672,334018729361,1102545.76,Завершен,False
400151,Стройматериалы,Заказчик_0085,228319081121,Запрос ценовых предложений,2024-12-01,2024-12-02,1,3,Поставщик_0133,607514168876,2956559.28,Итоги подведены,False
400152,Мебель,Заказчик_0002,930086875935,Запрос ценовых предложений,2024-11-23,2024-12-06,13,3,Поставщик_0019,918536797002,1094032.1,Завершен,False
400153,Канцелярские товары,Заказчик_0120,174668074201,Электронный аукцион,2025-05-07,2025-05-18,11,1,Поставщик_0036,652800941983,285004.61,Завершен,False
400154,IT-услуги,Заказчик_0178,823345926868,Электронный аукцион,2025-05-16,2025-05-24,8,5,Поставщик_0375,617428444873,5040253.13,Итоги подведены,False
400155,Ремонт зданий,Заказчик_0104,865457848634,Запрос ценовых предложений,2024-07-03,2024-07-22,19,8,Поставщик_0135,014282841775,5784678.29,Итоги подведены,False
400156,IT-услуги,Заказчик_0141,155013446536,Открытый конкурс,2024-06-29,2024-07-08,9,3,Поставщик_0288,661203121503,4523570.76,Завершен,False
400157,Охранные услуги,Заказчик_0171,919426295735,Открытый конкурс,2024-08-03,2024-08-17,14,2,Поставщик_0682,433512932356,1868064.98,Итоги подведены,False
400158,Клининг,Заказчик_0029,639591919214,Открытый конкурс,2023-05-01,2023-05-05,4,2,Поставщик_0131,981867816273,663260.95,Итоги подведены,False
400159,Стройматериалы,Заказчик_0062,298543394596,Открытый конкурс,2025-01-25,2025-02-20,26,1,Поставщик_0382,989586553277,2867100.25,Опубликован,False
400160,Мебель,Заказчик_0060,098599620746,Из одного источника по несостоявшимся закупкам,2025-02-28,2025-03-12,12,2,Поставщик_0077,930130381662,1047684.49,Опубликован,False
400161,Продукты питания,Заказчик_0188,511393683388,Из одного источника по несостоявшимся закупкам,2025-04-19,2025-04-28,9,4,Поставщик_0632,492032371579,477936.92,Опубликован,False
400162,Мебель,Заказчик_0160,845404873875,Из одного источника,2023-08-08,2023-08-24,16,5,Поставщик_0646,902533636786,1031960.82,Итоги подведены,False
400163,Стройматериалы,Заказчик_0156,370660134587,Открытый конкурс,2024-03-26,2024-04-01,6,3,Поставщик_0721,536139518740,3054198.32,Завершен,False
400164,Стройматериалы,Заказчик_0047,881968747928,Открытый конкурс,2023-10-19,2023-10-31,12,6,Поставщик_0093,500663526930,3219773.26,Опубликован,False
400165,Канцелярские товары,Заказчик_0053,105295618485,Открытый конкурс,2024-12-09,2024-12-16,7,2,Поставщик_0081,606435416636,295038.0,Завершен,False
400166,Клининг,Заказчик_0049,308127387209,Электронный аукцион,2024-04-04,2024-04-14,10,1,Поставщик_0202,636456738411,671355.42,Итоги подведены,False
400167,Охранные услуги,Заказчик_0154,114217757188,Запрос ценовых предложений,2023-02-17,2023-02-20,3,1,Поставщик_0442,406737830193,2320903.01,Итоги подведены,True
400168,Мебель,Заказчик_0015,769043821442,Электронный аукцион,2024-11-03,2024-11-10,7,1,Поставщик_0519,159617905379,1065200.24,Опубликован,False
400169,Медицинское оборудование,Заказчик_0050,074766470263,Открытый конкурс,2025-01-10,2025-01-22,12,3,Поставщик_0555,891389365286,8275595.11,Завершен,False
400170,Канцелярские товары,Заказчик_0179,703500144758,Открытый конкурс,2023-10-22,2023-11-03,12,4,Поставщик_0779,380890355108,270628.45,Опубликован,False
